1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,0,20,,247,,2017-09-01 12:36:27 PM,40.73535398,,-74.00483091,,Perry St & Bleecker St,,Perry St & Bleecker St,1,In Service,False,20
,12,11,,248,,2017-09-01 12:35:48 PM,40.72185379,,-74.00771779,,Laight St & Hudson St,,Laight St & Hudson St,1,In Service,False,23
,26,0,,249,,2017-09-01 12:36:41 PM,40.71870987,,-74.0090009,,Harrison St & Hudson St,,Harrison St & Hudson St,1,In Service,False,27
,25,1,,251,,2017-09-01 12:35:33 PM,40.72317958,,-73.99480012,,Mott St & Prince St,,Mott St & Prince St,1,In Service,False,27
,11,19,,252,,2017-09-01 12:37:05 PM,40.73226398,,-73.99852205,,MacDougal St & Washington Sq,,MacDougal St & Washington Sq,1,In Service,False,33
,41,14,,253,,2017-09-01 12:38:09 PM,40.73543934,,-73.99453948,,W 13 St & 5 Ave,,W 13 St & 5 Ave,1,In Service,False,55
,4,26,,254,,2017-09-01 12:37:24 PM,40.73532427,,-73.99800419,,W 11 St & 6 Ave,,W 11 St & 6 Ave,1,In Service,False,31
,25,12,,257,,2017-09-01 12:37:14 PM,40.71939226,,-74.00247214,,Lispenard St & Broadway,,Lispenard St & Broadway,1,In Service,False,39
,16,7,,258,,2017-09-01 12:39:03 PM,40.68940747,,-73.96885458,,DeKalb Ave & Vanderbilt Ave,,DeKalb Ave & Vanderbilt Ave,1,In Service,False,23
,15,24,,259,,2017-09-01 12:38:59 PM,40.70122128,,-74.01234218,,South St & Whitehall St,,South St & Whitehall St,1,In Service,False,39
,24,11,,260,,2017-09-01 12:39:08 PM,40.70365182,,-74.01167797,,Broad St & Bridge St,,Broad St & Bridge St,1,In Service,False,35
,14,13,,261,,2017-09-01 12:37:34 PM,40.69474881,,-73.98362464,,Johnson St & Gold St,,Johnson St & Gold St,1,In Service,False,27
,9,14,,262,,2017-09-01 12:38:32 PM,40.6917823,,-73.9737299,,Washington Park,,Washington Park,1,In Service,False,24
,26,1,,264,,2017-09-01 12:36:31 PM,40.70706456,,-74.00731853,,Maiden Ln & Pearl St,,Maiden Ln & Pearl St,1,In Service,False,27
,19,12,,265,,2017-09-01 12:39:11 PM,40.72229346,,-73.99147535,,Stanton St & Chrystie St,,Stanton St & Chrystie St,1,In Service,False,35
,1,23,,266,,2017-09-01 12:37:28 PM,40.72368361,,-73.97574813,,Avenue D & E 8 St,,Avenue D & E 8 St,1,In Service,False,24
,11,45,,267,,2017-09-01 12:38:44 PM,40.75097711,,-73.98765428,,Broadway & W 36 St,,Broadway & W 36 St,1,In Service,False,57
,24,2,,268,,2017-09-01 12:37:49 PM,40.71910537,,-73.99973337,,Howard St & Centre St,,Howard St & Centre St,1,In Service,False,27
,26,5,,274,,2017-09-01 12:39:07 PM,40.68691865,,-73.976682,,Lafayette Ave & Fort Greene Pl,,Lafayette Ave & Fort Greene Pl,1,In Service,False,31
,8,11,,275,,2017-09-01 12:36:26 PM,40.68650065,,-73.96563307,,Washington Ave & Greene Ave,,Washington Ave & Greene Ave,1,In Service,False,19
,16,9,,276,,2017-09-01 12:38:11 PM,40.71748752,,-74.0104554,,Duane St & Greenwich St,,Duane St & Greenwich St,1,In Service,False,25
,3,15,,278,,2017-09-01 12:38:05 PM,40.69766564,,-73.98476437,,Concord St & Bridge St,,Concord St & Bridge St,1,In Service,False,19
,34,1,,279,,2017-09-01 12:38:37 PM,40.707873,,-74.00167,,Peck Slip & Front St,,Peck Slip & Front St,1,In Service,False,36
,28,1,,280,,2017-09-01 12:36:37 PM,40.73331967,,-73.99510132,,E 10 St & 5 Ave,,E 10 St & 5 Ave,1,In Service,False,31
,28,29,,281,,2017-09-01 12:39:03 PM,40.7643971,,-73.97371465,,Grand Army Plaza & Central Park S,,Grand Army Plaza & Central Park S,1,In Service,False,57
,7,20,,282,,2017-09-01 12:37:54 PM,40.7076449442,,-73.9684152603,,Kent Ave & S 11 St,,Kent Ave & S 11 St,1,In Service,False,27
